No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1971,INTF,iShares Edge MSCI Multifactor Intl ETF,Financial,Exchange Traded Fund,USA,-,-,24.84,-1.10%,"25,285"
1973,INVA,"Innoviva, Inc.",Healthcare,Biotechnology,USA,1.09B,5.23,10.54,-0.75%,"87,901"
1975,INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,USA,16.78B,90.55,29.26,-1.48%,"868,659"
1977,IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,4.82B,51.82,47.92,3.10%,"403,582"
1979,IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,USA,1.67B,31.53,67.45,-1.48%,"13,820"
1962,INOD,Innodata Inc.,Technology,Information Technology Services,USA,74.66M,-,3.09,0.49%,"14,528"
1964,INSG,Inseego Corp.,Technology,Communication Equipment,USA,988.51M,-,10.13,-2.27%,"543,900"
1966,INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,USA,3.32B,-,127.90,2.34%,"48,505"
1968,INSW,"International Seaways, Inc.",Industrials,Marine Shipping,USA,432.89M,4.35,15.08,-2.08%,"33,778"
1970,INTC,Intel Corporation,Technology,Semiconductors,USA,231.54B,9.91,53.96,0.14%,"6,043,327"
1972,INTU,Intuit Inc.,Technology,Software - Application,USA,90.04B,50.73,350.87,-0.02%,"349,316"
1974,INVE,"Identiv, Inc.",Technology,Computer Hardware,USA,116.77M,-,6.45,-0.46%,"5,768"
1976,IO,ION Geophysical Corporation,Energy,Oil & Gas Equipment & Services,USA,25.59M,-,1.58,0.64%,"89,747"
1978,IOO,iShares Global 100 ETF,Financial,Exchange Traded Fund,USA,-,-,58.74,-0.62%,"18,821"
1980,IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,4.29B,-,31.24,0.58%,"624,110"
1981,IP,International Paper Company,Consumer Cyclical,Packaging & Containers,USA,17.41B,27.69,43.53,-2.10%,"407,212"
1983,IPAY,ETFMG Prime Mobile Payments ETF,Financial,Exchange Traded Fund,USA,-,-,57.68,-0.60%,"39,444"
1985,IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,USA,7.23B,16.09,18.16,-2.10%,"735,943"
1987,IPHI,Inphi Corporation,Technology,Semiconductors,USA,6.05B,-,122.62,0.05%,"87,741"
1989,IPO,Renaissance IPO ETF,Financial,Exchange Traded Fund,USA,-,-,57.03,0.94%,"87,185"
1991,IPOC,Social Capital Hedosophia Holdings Corp. III,Financial,Shell Companies,USA,1.11B,-,10.58,-0.94%,"483,088"
1993,IQDF,FlexShares International Quality Dividend Index Fund,Financial,Exchange Traded Fund,USA,-,-,21.19,-0.98%,"5,650"
1995,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,USA,15.56B,-,37.35,0.38%,"314,906"
1997,IRBT,iRobot Corporation,Technology,Consumer Electronics,USA,2.38B,26.30,89.52,0.96%,"147,205"
1999,IRET,Investors Real Estate Trust,Real Estate,REIT - Residential,USA,966.85M,13.33,69.96,-0.72%,"3,281"
1982,IPAR,"Inter Parfums, Inc.",Consumer Defensive,Household & Personal Products,USA,1.31B,36.89,41.49,-0.91%,"17,419"
1984,IPFF,iShares International Preferred Stock ETF,Financial,Exchange Traded Fund,USA,-,-,14.22,-0.46%,648
1986,IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,USA,9.62B,76.56,183.73,1.00%,"41,014"
1988,IPI,"Intrepid Potash, Inc.",Basic Materials,Agricultural Inputs,USA,135.67M,-,9.73,-1.32%,"23,600"
1990,IPOB,Social Capital Hedosophia Holdings Corp. II,Financial,Shell Companies,USA,1.06B,-,22.90,-1.29%,"881,421"
1992,IQ,"iQIYI, Inc.",Communication Services,Internet Content & Information,China,17.21B,-,23.46,-0.85%,"817,572"
1994,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,USA,32.16B,255.95,168.90,-0.92%,"201,821"
1996,IRBO,iShares Robotics and Artificial Intelligence Multisector ETF,Financial,Exchange Traded Fund,USA,-,-,34.67,-0.42%,"12,091"
1998,IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,USA,3.83B,-,28.93,-0.99%,"141,410"
2000,IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,USA,8.17B,40.38,27.41,-3.32%,"690,773"
2001,IRT,"Independence Realty Trust, Inc.",Real Estate,REIT - Residential,USA,1.15B,37.77,11.85,-1.62%,"30,452"
2003,IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.68B,17.06,10.39,-1.14%,"606,228"
2005,ISEE,"IVERIC bio, Inc.",Healthcare,Biotechnology,USA,529.92M,-,5.89,2.08%,"102,388"
2007,ISRA,VanEck Vectors Israel ETF,Financial,Exchange Traded Fund,USA,-,-,39.38,0.66%,244
2009,IT,"Gartner, Inc.",Technology,Information Technology Services,USA,11.35B,47.85,125.60,-0.95%,"56,006"
2011,ITB,iShares U.S. Home Construction ETF,Financial,Exchange Traded Fund,USA,-,-,59.39,-0.83%,"1,043,205"
2013,ITEQ,BlueStar Israel Technology ETF,Financial,Exchange Traded Fund,USA,-,-,61.82,0.02%,"3,946"
2015,ITI,"Iteris, Inc.",Technology,Communication Equipment,USA,176.77M,-,4.32,-0.46%,"27,702"
2017,ITOT,iShares Core S&P Total U.S. Stock Market ETF,Financial,Exchange Traded Fund,USA,-,-,79.58,-0.25%,"212,837"
2019,ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,USA,2.72B,-,68.55,-0.36%,"42,212"
2002,IRTC,"iRhythm Technologies, Inc.",Healthcare,Medical Instruments & Supplies,USA,7.28B,-,256.00,-1.35%,"22,447"
2004,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,USA,2.00B,10.69,7.71,-2.28%,"323,060"
2006,ISIG,"Insignia Systems, Inc.",Communication Services,Advertising Agencies,USA,8.15M,-,0.66,-4.69%,"11,394"
2008,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,86.61B,79.57,753.44,-0.30%,"166,606"
2010,ITA,iShares U.S. Aerospace & Defense ETF,Financial,Exchange Traded Fund,USA,-,-,162.79,-1.24%,"45,104"
2012,ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Biotechnology,USA,2.04B,-,26.69,2.46%,"103,951"
2014,ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,USA,2.13B,29.98,65.50,-1.13%,"25,949"
2016,ITM,VanEck Vectors Intermediate Muni ETF,Financial,Exchange Traded Fund,USA,-,-,51.02,0.00%,"8,315"
2018,ITP,"IT Tech Packaging, Inc.",Basic Materials,Paper & Paper Products,China,14.07M,9.74,0.50,-2.17%,"15,416"
2020,ITRN,Ituran Location and Control Ltd.,Technology,Communication Equipment,Israel,318.12M,-,13.81,-2.20%,"12,934"
2021,ITT,ITT Inc.,Industrials,Specialty Industrial Machinery,USA,5.44B,17.90,63.64,-0.48%,"67,014"
2023,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,USA,62.95B,29.98,203.51,-0.15%,"131,321"
2025,IUSV,iShares Core S&P U.S. Value ETF,Financial,Exchange Traded Fund,USA,-,-,56.41,-0.92%,"37,274"
2027,IVC,Invacare Corporation,Healthcare,Medical Devices,USA,281.88M,-,8.30,-0.24%,"18,131"
2029,IVLU,iShares Edge MSCI Intl Value Factor ETF,Financial,Exchange Traded Fund,USA,-,-,19.89,-1.44%,"8,666"
2031,IVR,Invesco Mortgage Capital Inc.,Real Estate,REIT - Mortgage,USA,513.27M,-,2.80,-0.89%,"728,133"
2033,IVW,iShares S&P 500 Growth ETF,Financial,Exchange Traded Fund,USA,-,-,244.18,0.02%,"118,549"
2035,IWB,iShares Russell 1000 ETF,Financial,Exchange Traded Fund,USA,-,-,196.91,-0.20%,"56,088"
2037,IWD,iShares Russell 1000 Value ETF,Financial,Exchange Traded Fund,USA,-,-,123.27,-0.79%,"372,589"
2039,IWM,iShares Russell 2000 ETF,Financial,Exchange Traded Fund,USA,-,-,162.18,-0.99%,"7,551,915"
2022,ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional,Brazil,41.05B,12.51,4.24,-2.30%,"13,130,318"
2024,IUSG,iShares Core S&P U.S. Growth ETF,Financial,Exchange Traded Fund,USA,-,-,84.46,0.09%,"37,344"
2026,IVAC,"Intevac, Inc.",Industrials,Aerospace & Defense,USA,129.25M,27.50,5.53,-1.43%,"3,804"
2028,IVE,iShares S&P 500 Value ETF,Financial,Exchange Traded Fund,USA,-,-,116.83,-0.83%,"82,658"
2030,IVOL,Quadratic Interest Rate Volatility and Inflation Hedge ETF New,Financial,Exchange Traded Fund,USA,-,-,27.50,-0.13%,"38,574"
2032,IVV,iShares Core S&P 500 ETF,Financial,Exchange Traded Fund,USA,-,-,352.55,-0.32%,"699,119"
2034,IVZ,Invesco Ltd.,Financial,Asset Management,USA,6.08B,13.20,13.75,2.61%,"2,406,103"
2036,IWC,iShares Micro-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,98.20,-0.88%,828
2038,IWF,iShares Russell 1000 Growth ETF,Financial,Exchange Traded Fund,USA,-,-,229.82,0.27%,"446,872"
2040,IWN,iShares Russell 2000 Value ETF,Financial,Exchange Traded Fund,USA,-,-,107.47,-1.70%,"557,120"
2041,IWO,iShares Russell 2000 Growth ETF,Financial,Exchange Traded Fund,USA,-,-,239.94,-0.45%,"65,331"
2043,IWR,iShares Russell Mid-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,61.03,-0.47%,"267,932"
2045,IWV,iShares Russell 3000 ETF,Financial,Exchange Traded Fund,USA,-,-,206.30,-0.31%,"16,429"
2047,IXJ,iShares Global Healthcare ETF,Financial,Exchange Traded Fund,USA,-,-,73.53,-0.47%,"10,353"
2049,IXP,iShares Global Comm Services ETF,Financial,Exchange Traded Fund,USA,-,-,69.25,0.00%,"1,922"
2051,IYE,iShares U.S. Energy ETF,Financial,Exchange Traded Fund,USA,-,-,16.32,-1.09%,"393,226"
2053,IYG,iShares U.S. Financial Services ETF,Financial,Exchange Traded Fund,USA,-,-,128.78,-1.10%,"70,446"
2055,IYJ,iShares U.S. Industrials ETF,Financial,Exchange Traded Fund,USA,-,-,175.16,-0.55%,"8,577"
2057,IYR,iShares U.S. Real Estate ETF,Financial,Exchange Traded Fund,USA,-,-,82.80,-1.60%,"1,230,238"
2059,IYW,iShares U.S. Technology ETF,Financial,Exchange Traded Fund,USA,-,-,321.40,0.17%,"14,265"
2042,IWP,iShares Russell Mid-Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,185.91,0.57%,"89,291"
2044,IWS,iShares Russell Mid-Cap Value ETF,Financial,Exchange Traded Fund,USA,-,-,85.44,-1.07%,"120,520"
2046,IXC,iShares Global Energy ETF,Financial,Exchange Traded Fund,USA,-,-,16.67,-1.42%,"234,950"
2048,IXN,iShares Global Tech ETF,Financial,Exchange Traded Fund,USA,-,-,277.66,-0.37%,"9,091"
2050,IXUS,iShares Core MSCI Total International Stock ETF,Financial,Exchange Traded Fund,USA,-,-,60.11,-1.00%,"1,498,402"
2052,IYF,iShares U.S. Financials ETF,Financial,Exchange Traded Fund,USA,-,-,118.65,-1.17%,"217,067"
2054,IYH,iShares U.S. Healthcare ETF,Financial,Exchange Traded Fund,USA,-,-,234.69,-0.54%,"5,232"
2056,IYM,iShares U.S. Basic Materials ETF,Financial,Exchange Traded Fund,USA,-,-,102.58,-0.32%,"11,261"
2058,IYT,iShares Transportation Average ETF,Financial,Exchange Traded Fund,USA,-,-,209.98,-0.12%,"42,142"
2060,IYZ,iShares U.S. Telecommunications ETF,Financial,Exchange Traded Fund,USA,-,-,28.02,-0.92%,"16,437"
2061,J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction,USA,13.08B,38.88,100.60,-0.18%,"147,749"
2063,JAMF,Jamf Holding Corp.,Technology,Software - Application,USA,3.97B,-,35.00,0.72%,"87,615"
2065,JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,Ireland,8.55B,67.05,153.20,-0.96%,"145,428"
2067,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,USA,14.54B,30.09,139.19,1.03%,"117,804"
2069,JBLU,JetBlue Airways Corporation,Industrials,Airlines,USA,3.37B,-,12.06,-2.48%,"2,131,812"
2071,JBT,John Bean Technologies Corporation,Industrials,Specialty Industrial Machinery,USA,2.88B,21.31,90.64,-0.55%,"16,298"
2073,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,Ireland,32.37B,42.58,42.74,-1.20%,"558,116"
2075,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,130.17B,40.81,83.12,-1.42%,"3,260,511"
2077,JE,Just Energy Group Inc.,Utilities,Utilities - Diversified,Canada,297.77M,3.65,6.03,-6.22%,"1,803,386"
2079,JELD,"JELD-WEN Holding, Inc.",Industrials,Building Products & Equipment,USA,2.69B,55.03,25.11,-3.12%,"38,828"
2062,JACK,Jack in the Box Inc.,Consumer Cyclical,Restaurants,USA,1.90B,27.49,85.96,1.27%,"99,225"
2064,JAX,"J. Alexander's Holdings, Inc.",Consumer Cyclical,Restaurants,USA,82.09M,-,5.30,-0.19%,"9,110"
2066,JBGS,JBG SMITH Properties,Real Estate,REIT - Office,USA,4.14B,79.34,26.96,-2.92%,"22,650"
2068,JBL,Jabil Inc.,Technology,Electronic Components,USA,5.54B,109.02,36.52,-0.60%,"437,410"
2070,JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Defensive,Packaged Foods,USA,678.94M,16.47,76.85,-0.50%,"6,698"
2072,JCAP,"Jernigan Capital, Inc.",Real Estate,REIT - Industrial,USA,399.38M,-,17.18,-0.12%,"35,001"
2074,JCOM,"J2 Global, Inc.",Technology,Software - Infrastructure,USA,3.46B,19.62,72.71,-0.49%,"63,210"
2076,JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,Financial,Exchange Traded Fund,USA,-,-,10.18,4.95%,"4,176,793"
2078,JEF,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,USA,5.39B,15.84,20.49,1.29%,"777,165"
2080,JETS,U.S. Global Jets ETF,Financial,Exchange Traded Fund,USA,-,-,17.54,-2.07%,"2,427,006"
2081,JHG,Janus Henderson Group plc,Financial,Asset Management,United Kingdom,5.02B,75.92,28.25,1.09%,"552,033"
2083,JJC,iPath Series B Bloomberg Copper Subindex Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,46.03,-0.89%,"1,449"
2085,JJSF,J & J Snack Foods Corp.,Consumer Defensive,Packaged Foods,USA,2.53B,67.75,131.70,-1.37%,"20,913"
2087,JKS,"JinkoSolar Holding Co., Ltd.",Technology,Solar,China,2.31B,14.48,64.67,8.87%,"7,675,703"
2089,JMIA,Jumia Technologies AG,Consumer Cyclical,Internet Retail,Germany,976.14M,-,12.43,1.36%,"6,952,398"
2091,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,394.26B,27.24,148.75,-2.04%,"4,726,110"
2093,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,7.50B,22.09,22.36,-1.15%,"309,697"
2095,JO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,33.27,0.82%,"10,595"
2097,JOE,The St. Joe Company,Real Estate,Real Estate - Diversified,USA,1.56B,48.17,26.17,-2.65%,"50,384"
2099,JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,Financial,Exchange Traded Fund,USA,-,-,47.94,-0.89%,"4,124"
2082,JILL,"J.Jill, Inc.",Consumer Cyclical,Apparel Retail,USA,30.92M,-,0.91,33.57%,"24,323,467"
2084,JJG,iPath Series B Bloomberg Grains Subindex Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,45.87,-0.16%,243
2086,JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,USA,12.56B,42.72,164.22,-0.30%,"77,556"
2088,JLL,Jones Lang LaSalle Incorporated,Real Estate,Real Estate Services,USA,5.65B,13.51,107.91,-0.30%,"61,804"
2090,JNCE,"Jounce Therapeutics, Inc.",Healthcare,Biotechnology,USA,343.27M,16.19,10.18,2.12%,"53,170"
2092,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Financial,Exchange Traded Fund,USA,-,-,105.62,-0.43%,"1,671,985"
2094,JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,139.47,-5.02%,"634,557"
2096,JOBS,"51job, Inc.",Industrials,Staffing & Employment Services,China,5.15B,31.57,76.42,-0.01%,"50,493"
2098,JP,Jupai Holdings Limited,Financial,Asset Management,China,54.96M,-,1.65,-0.60%,"4,091"
2100,JPIN,JPMorgan Diversified Return International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,52.60,-1.01%,"1,947"
2101,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,313.99B,13.80,100.96,-1.44%,"9,210,112"
2103,JPUS,JPMorgan Diversified Return U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,77.70,-0.53%,"1,591"
2105,JW-A,"John Wiley & Sons, Inc.",Communication Services,Publishing,USA,2.11B,-,32.40,-0.77%,"15,444"
2107,JYNT,The Joint Corp.,Healthcare,Medical Care Facilities,USA,262.33M,97.55,18.57,-2.88%,"2,315"
2109,KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,USA,1.33B,27.89,117.28,-1.25%,"2,127"
2111,KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,USA,927.74M,26.63,60.41,-1.68%,"7,654"
2113,KAR,"KAR Auction Services, Inc.",Consumer Cyclical,Specialty Retail,USA,2.20B,130.83,16.95,-2.59%,"726,649"
2115,KBA,KraneShares Bosera MSCI China A ETF,Financial,Exchange Traded Fund,USA,-,-,41.70,-0.14%,"21,529"
2117,KBE,SPDR S&P Bank ETF,Financial,Exchange Traded Fund,USA,-,-,32.38,-2.47%,"711,174"
2119,KBR,"KBR, Inc.",Industrials,Engineering & Construction,USA,3.44B,-,24.63,-1.32%,"194,238"
2102,JPNL,Direxion Daily Japan Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,52.18,-1.17%,455
2104,JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,51.32,-0.23%,426
2106,JWN,"Nordstrom, Inc.",Consumer Cyclical,Department Stores,USA,2.18B,-,13.35,-1.66%,"2,661,694"
2108,K,Kellogg Company,Consumer Defensive,Packaged Foods,USA,22.52B,20.89,66.32,0.02%,"156,503"
2110,KALA,"Kala Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,465.71M,-,8.46,2.55%,"342,168"
2112,KAMN,Kaman Corporation,Industrials,Aerospace & Defense,USA,1.19B,27.38,41.42,-3.02%,"30,981"
2114,KB,KB Financial Group Inc.,Financial,Banks - Regional,South Korea,14.64B,5.04,34.76,-1.79%,"31,775"
2116,KBAL,"Kimball International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,412.99M,10.11,11.05,-1.16%,"9,752"
2118,KBH,KB Home,Consumer Cyclical,Residential Construction,USA,3.67B,15.61,40.56,-1.73%,"232,513"
2120,KBWB,Invesco KBW Bank ETF,Financial,Exchange Traded Fund,USA,-,-,40.49,-2.20%,"829,711"
2121,KC,Kingsoft Cloud Holdings Limited,Technology,Software - Application,China,6.46B,-,31.29,-0.86%,"321,153"
2123,KCE,SPDR S&P Capital Markets ETF,Financial,Exchange Traded Fund,USA,-,-,63.79,-0.19%,696
2125,KDNY,"Chinook Therapeutics, Inc.",Healthcare,Biotechnology,USA,277.55M,-,16.80,0.48%,"31,000"
2127,KE,"Kimball Electronics, Inc.",Industrials,Electrical Equipment & Parts,USA,316.38M,17.72,12.17,-2.72%,"2,313"
2129,KEP,Korea Electric Power Corporation,Utilities,Utilities - Regulated Electric,South Korea,11.59B,-,8.97,-1.10%,"10,660"
2131,KEX,Kirby Corporation,Industrials,Marine Shipping,USA,2.36B,-,38.19,-1.65%,"64,921"
2133,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,19.39B,33.25,104.33,-1.31%,"410,409"
2135,KFY,Korn Ferry,Industrials,Staffing & Employment Services,USA,1.78B,57.74,31.79,-1.15%,"23,790"
2137,KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA,38.83B,-,31.96,0.98%,"1,119,116"
2139,KIE,SPDR S&P Insurance ETF,Financial,Exchange Traded Fund,USA,-,-,29.73,-1.82%,"22,317"
2122,KCAC,Kensington Capital Acquisition Corp.,Financial,Shell Companies,USA,361.10M,-,15.49,-1.31%,"360,352"
2124,KDMN,"Kadmon Holdings, Inc.",Healthcare,Biotechnology,USA,664.48M,-,3.88,-1.52%,"229,708"
2126,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,41.15B,36.34,29.68,-0.39%,"995,891"
2128,KELYA,"Kelly Services, Inc.",Industrials,Staffing & Employment Services,USA,755.40M,-,18.38,-3.16%,"11,261"
2130,KERN,Akerna Corp.,Healthcare,Health Information Services,USA,62.30M,-,4.62,-1.07%,"50,499"
2132,KEY,KeyCorp,Financial,Banks - Regional,USA,13.16B,11.93,12.89,-3.05%,"1,536,669"
2134,KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,USA,823.79M,17.09,37.31,-1.76%,"20,057"
2136,KGC,Kinross Gold Corporation,Basic Materials,Gold,Canada,10.86B,12.85,8.90,-2.70%,"3,307,240"
2138,KIDS,OrthoPediatrics Corp.,Healthcare,Medical Devices,USA,918.42M,-,46.89,1.96%,"36,224"
2140,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,5.19B,5.14,11.16,-3.88%,"558,389"
2141,KIN,"Kindred Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,192.91M,-,4.70,-2.09%,"27,619"
2143,KKR,KKR & Co. Inc.,Financial,Asset Management,USA,30.84B,133.84,36.71,1.21%,"440,324"
2145,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,USA,32.59B,27.89,218.55,1.86%,"172,757"
2147,KLR,"Kaleyra, Inc.",Communication Services,Telecom Services,Italy,202.99M,-,7.29,2.34%,"46,113"
2149,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,51.57B,20.62,153.84,0.29%,"629,000"
2151,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,29.63B,182.57,12.60,-1.37%,"3,312,517"
2153,KMT,Kennametal Inc.,Industrials,Tools & Accessories,USA,2.87B,-,34.06,-1.67%,"227,161"
2155,KN,Knowles Corporation,Technology,Communication Equipment,USA,1.46B,118.42,16.58,0.73%,"344,937"
2157,KNL,"Knoll, Inc.",Industrials,Business Equipment & Supplies,USA,668.22M,22.05,12.66,-2.01%,"48,982"
2159,KNSA,"Kiniksa Pharmaceuticals, Ltd.",Healthcare,Biotechnology,Bermuda,1.39B,-,20.23,-4.35%,"39,035"
2142,KIRK,"Kirkland's, Inc.",Consumer Cyclical,Specialty Retail,USA,136.83M,-,11.47,7.30%,"420,658"
2144,KL,Kirkland Lake Gold Ltd.,Basic Materials,Gold,Canada,14.18B,17.56,49.91,-2.89%,"887,894"
2146,KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,Singapore,1.52B,33.80,26.40,4.85%,"151,431"
2148,KLXE,"KLX Energy Services Holdings, Inc.",Energy,Oil & Gas Equipment & Services,USA,40.91M,-,4.55,0.89%,"41,256"
2150,KMDA,Kamada Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,350.85M,16.52,7.93,0.63%,"31,526"
2152,KMPR,Kemper Corporation,Financial,Insurance - Property & Casualty,USA,4.49B,10.31,67.05,-1.84%,"8,731"
2154,KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,15.34B,22.25,94.97,2.66%,"706,585"
2156,KNDI,"Kandi Technologies Group, Inc.",Consumer Cyclical,Auto Manufacturers,China,433.61M,59.62,7.53,-3.59%,"446,495"
2158,KNOP,KNOT Offshore Partners LP,Industrials,Marine Shipping,United Kingdom,439.29M,9.61,13.21,-0.83%,"18,101"
2160,KNSL,"Kinsale Capital Group, Inc.",Financial,Insurance - Property & Casualty,USA,4.75B,72.78,213.30,0.10%,"9,954"
2161,KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,USA,7.04B,24.00,41.51,2.91%,"649,845"
2163,KOD,Kodiak Sciences Inc.,Healthcare,Biotechnology,USA,3.18B,-,74.47,2.10%,"26,343"
2165,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,Beverages - Non-Alcoholic,Mexico,2.23B,17.96,41.71,-2.48%,"13,849"
2167,KOLD,ProShares UltraShort Bloomberg Natural Gas,Financial,Exchange Traded Fund,USA,-,-,31.06,-0.80%,"378,260"
2169,KOPN,Kopin Corporation,Technology,Electronic Components,USA,118.95M,-,1.47,3.17%,"93,441"
2171,KPTI,Karyopharm Therapeutics Inc.,Healthcare,Biotechnology,USA,1.09B,-,15.06,-0.33%,"159,234"
2173,KRA,Kraton Corporation,Basic Materials,Specialty Chemicals,USA,798.68M,4.14,25.35,-0.41%,"67,271"
2175,KRE,SPDR S&P Regional Banking ETF,Financial,Exchange Traded Fund,USA,-,-,39.12,-2.69%,"3,509,024"
2177,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,290.28M,-,6.84,-0.87%,"54,335"
2179,KRNY,Kearny Financial Corp.,Financial,Banks - Regional,USA,741.49M,14.93,7.96,-2.33%,"39,680"
2162,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,217.94B,24.03,50.24,-1.66%,"2,570,509"
2164,KODK,Eastman Kodak Company,Industrials,Specialty Business Services,USA,640.14M,-,9.67,0.93%,"5,092,192"
2166,KOL,VanEck Vectors Coal ETF,Financial,Exchange Traded Fund,USA,-,-,78.30,-0.03%,125
2168,KOP,Koppers Holdings Inc.,Basic Materials,Specialty Chemicals,USA,509.54M,7.08,23.98,-1.36%,"23,979"
2170,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,USA,458.10M,-,1.12,-0.88%,"756,884"
2172,KR,The Kroger Co.,Consumer Defensive,Grocery Stores,USA,26.69B,10.58,34.83,0.58%,"1,170,557"
2174,KRC,Kilroy Realty Corporation,Real Estate,REIT - Office,USA,6.28B,33.51,52.60,-2.88%,"66,174"
2176,KRG,Kite Realty Group Trust,Real Estate,REIT - Retail,USA,1.03B,-,11.48,-3.45%,"57,454"
2178,KRNT,Kornit Digital Ltd.,Industrials,Specialty Industrial Machinery,Israel,2.94B,-,71.11,2.18%,"105,125"
2180,KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.63B,22.27,13.93,-0.71%,"18,142"
2181,KRP,"Kimbell Royalty Partners, LP",Energy,Oil & Gas E&P,USA,243.38M,-,6.39,1.11%,"29,866"
2183,KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,USA,968.04M,-,50.57,-2.47%,"17,493"
2185,KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,USA,3.41B,-,20.76,-2.33%,"1,742,861"
2187,KT,KT Corporation,Communication Services,Telecom Services,South Korea,5.16B,9.36,10.01,0.81%,"91,446"
2189,KTCC,Key Tronic Corporation,Technology,Computer Hardware,USA,97.62M,21.32,9.28,-0.87%,"3,814"
2191,KURA,"Kura Oncology, Inc.",Healthcare,Biotechnology,USA,1.86B,-,33.26,0.62%,"151,542"
