No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
36,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,60.69,0.44%,"80,240"
38,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,12.86B,11.67,31.15,-1.77%,"156,829"
40,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.88B,27.26,32.75,0.12%,"51,399"
41,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,6.82B,5.79,14.55,0.48%,"286,866"
43,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,353.36M,-,5.00,-0.40%,"74,567"
45,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,804.02M,23.63,24.75,1.79%,"38,463"
47,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.32B,107.59,76.62,-1.50%,"64,140"
49,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,29.57M,-,0.70,-0.96%,"598,675"
51,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,151.19M,-,4.07,0.49%,"189,398"
53,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,161.16M,-,3.35,-1.18%,"37,841"
55,ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,94.16,-0.56%,"58,775"
57,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,1.28B,-,8.78,5.02%,"707,532"
59,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.62B,34.78,66.75,-1.29%,"75,262"
42,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.86B,49.15,68.01,-0.23%,"78,952"
44,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.57B,47.64,30.35,-1.24%,"154,438"
46,ACM,AECOM,Industrials,Engineering & Construction,USA,7.45B,-,46.28,-0.58%,"204,578"
48,ACN,Accenture plc,Technology,Information Technology Services,Ireland,144.73B,29.09,230.49,-0.04%,"331,297"
50,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,323.80M,24.02,9.51,-0.52%,"59,751"
52,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,151.23M,-,1.91,-3.28%,"839,958"
54,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,83.32,-0.56%,"384,116"
56,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,47.41,-0.96%,"199,618"
58,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,239.56B,64.32,517.69,1.33%,"531,605"
60,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.43B,-,34.31,-0.33%,"26,913"
61,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,45.48B,42.21,124.53,-1.25%,"581,192"
63,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,209.84M,-,2.38,-1.86%,"1,008,198"
65,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,127.17M,-,4.81,-0.82%,"21,366"
67,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,63.50B,26.49,149.19,-0.92%,"298,432"
69,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,2.30B,8.08,50.03,3.15%,"457,580"
71,ADSW,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA,2.75B,15145.00,30.27,-0.05%,"54,202"
73,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,533.83M,-,10.87,-1.63%,"34,628"
75,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.06B,-,11.53,2.49%,"101,939"
